S.N.,Car Name,Model,Chasis Number,Colour,Mileage,Engine,Grade,Details,Price,Landing,Location,imgURL,Picture,Status,Drive Image,First Image
1,Toyota Aqua,,,,,,,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,,Sold,,
2,Toyota Corolla Axio 2019 Hybrid,2019,NKE165-7209832,Silver,"129,164",1500,3.5,"Lane assist, Toyota Safety Sense, Built-in ETC, Navigation, VSC ",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=183DraCxSW0KkbMptWW2Wu51RCyfZoThN&sz=w1000|https://drive.google.com/thumbnail?id=1mwrF_44wP4CxrbC7dKieaC1rohHiu7Sx&sz=w1000|https://drive.google.com/thumbnail?id=1b4I3Fy6Ao32Zs5ufI3FjKQibHtBU7vBu&sz=w1000|https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000|https://drive.google.com/thumbnail?id=1MZ4rgKiYJiEyx0GfcOk3eTqGeOqMCBwW&sz=w1000|https://drive.google.com/thumbnail?id=1Zgh6MmPA_MvLDOxpRT6TrDP8ZrCSZvt0&sz=w1000|https://drive.google.com/thumbnail?id=1hoOIKJ1_2xlJx8nmsqhri0bJoWhmz-sH&sz=w1000,https://drive.google.com/thumbnail?id=183DraCxSW0KkbMptWW2Wu51RCyfZoThN&sz=w1000
3,Toyota Corolla Axio Silver 2019 Hybrid,2019,NKE165-7211116,Silver,"191,409",1500,3.5,"Toyota Safety Sense, Navigation, Built-in ETC, Keyless Entry",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=128sFPd03RHAom5CY1LZDdQHWUs8wNq6Q&sz=w1000|https://drive.google.com/thumbnail?id=1GWdAcL_XVEbtkCsapgWJ3R6CsS7w7mo6&sz=w1000|https://drive.google.com/thumbnail?id=1PCDJqKmjb90HRwucs2YAkTVlNrngG1-F&sz=w1000|https://drive.google.com/thumbnail?id=17k-NZ5v6LGW1a9d2yIAf_JLyLeobglNt&sz=w1000|https://drive.google.com/thumbnail?id=1jlNMzoVlJuUIr_zwK7jf4Bna-xgUytJ8&sz=w1000|https://drive.google.com/thumbnail?id=1VJMjbi_aaojE4JNrTjnPQ1wvhAeAR4S9&sz=w1000|https://drive.google.com/thumbnail?id=1NOkfsDI1S93J_u94Q-wOAZZ4A1FzbMc0&sz=w1000,https://drive.google.com/thumbnail?id=128sFPd03RHAom5CY1LZDdQHWUs8wNq6Q&sz=w1000
4,Toyota CH-R G Mode Nero,2019,DAA-ZYX10,Black,"147,215",1800,3.5,"Back up camera, Heated Seats",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1a76kaOfbToNaicstU8-8rMHuS1R0aiWP&sz=w1000|https://drive.google.com/thumbnail?id=1dWi1VK_-UkWGr82x6vVCQ3uuexbQcMXh&sz=w1000|https://drive.google.com/thumbnail?id=1bthCS8oHNuSQsTSmNg_N_BqQdlBVRTna&sz=w1000|https://drive.google.com/thumbnail?id=1iZGsRbuW4bskrpfDY6Pb_Vou9RAz-QD4&sz=w1000|https://drive.google.com/thumbnail?id=1cB-GcPRluojV0URmYbhFMgWR0NGnkxy-&sz=w1000|https://drive.google.com/thumbnail?id=1jR6CyQByRyoC8NHbVF3u_bO33HUyc3na&sz=w1000|https://drive.google.com/thumbnail?id=1yiNhGZ2MY24bTjP_ZRQoTwmaqPjHoiKT&sz=w1000|https://drive.google.com/thumbnail?id=1outaEoIjjsK7vfyljjiaadkf0y6DhqHV&sz=w1000|https://drive.google.com/thumbnail?id=1jCmKy-s8ks53X8PyltA20cRBrfNsPtEu&sz=w1000|https://drive.google.com/thumbnail?id=1OB43rHjDw4tl30JKm5PdxB9PBkCW-R3n&sz=w1000|https://drive.google.com/thumbnail?id=1PeiJNNhj69LerCg0uK-IjIAZ1uvPFpZj&sz=w1000|https://drive.google.com/thumbnail?id=1iezn2cwBpfBnvYDAGGZ9AHlUzk2VDsTt&sz=w1000,https://drive.google.com/thumbnail?id=1a76kaOfbToNaicstU8-8rMHuS1R0aiWP&sz=w1000
5,Toyota Esquire 2019 Hybrid Xi Package,2019,ZWR80-0388069,Black,"85,708",1800,RA,"Toyota Safety Sense, Proximity Sonar sensor, power sliding door, navigation",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1qBI6VEXz2W5KzmWYp8z8r979EOZqFkSH&sz=w1000|https://drive.google.com/thumbnail?id=1W6c7s6RSlBHD2PlliTGCDRQGPeOwC6Ks&sz=w1000|https://drive.google.com/thumbnail?id=1XAjLXTKaqRqzos2IjQKHmRX2wrGoBBzz&sz=w1000|https://drive.google.com/thumbnail?id=1BNnWzacPDcq6qLJricagP6iaxxhxIne4&sz=w1000|https://drive.google.com/thumbnail?id=1EtGhkBe1CXbUGve3sIyRSCLFkVUcY9vO&sz=w1000|https://drive.google.com/thumbnail?id=1_QXx7W3e18kcXNliznxh-MdJ63ofePDm&sz=w1000|https://drive.google.com/thumbnail?id=1m3QSGpDmR7b3R2dlqpKRzkMqiQ8c1Nzj&sz=w1000,https://drive.google.com/thumbnail?id=1qBI6VEXz2W5KzmWYp8z8r979EOZqFkSH&sz=w1000
6,Toyota Noah Hybrid G Package,2021,DAA-ZWR80G,Black,"139,416",1800,3,"10 inch navigation screen, Back up camera, Toyota Safety Sense, power door, cruise control, smart key, led headlighs, front heated seats, proximity sensor",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1qGerYGq9g-ovUYx-uvu6-LM6EiarBYaY&sz=w1000|https://drive.google.com/thumbnail?id=1ZlwZMJs2boRdcc5-zIW7UoDER3reZq2K&sz=w1000|https://drive.google.com/thumbnail?id=10UOmu4a5dYfDKG6TGMUKH_jjuWu0kX2v&sz=w1000|https://drive.google.com/thumbnail?id=1a2ER_7xLAgJYE7mVO-ul8H6XZqu7DaSj&sz=w1000|https://drive.google.com/thumbnail?id=1Zea9mLYhTAkp6Vzrt5Vp5kmxXC3tPxf6&sz=w1000|https://drive.google.com/thumbnail?id=1ChbTrBxJ5QkN9GnQ6_7xs4mCqeoiouhi&sz=w1000|https://drive.google.com/thumbnail?id=1-ylKMpvXDx7dkxJxRgEZMstQrPbslgj3&sz=w1000|https://drive.google.com/thumbnail?id=1Mu_O4gsG9W21tVh0rul5j_0_Ka69jyWh&sz=w1000,https://drive.google.com/thumbnail?id=1qGerYGq9g-ovUYx-uvu6-LM6EiarBYaY&sz=w1000
7,Toyota Noah Hybrid SI,2019,DAA-ZWR80W,Black,"156,695",1800,3.5,"Toyota Safety Sense, Clearance Sonar, PSE, Headlights & fog lamps, Power Slider Door, Front seat heater, full seg TV, Back guide monitor",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1Ksqo8GmK_Dd0SzYk1S9Jc3gteYkWpvKj&sz=w1000|https://drive.google.com/thumbnail?id=1IK1Uz8aIyLIziOKjVkqHVchHFsnFIF_z&sz=w1000|https://drive.google.com/thumbnail?id=1fsuGw9ok9iJ5JKZ-wTcNManOlYndMYn4&sz=w1000|https://drive.google.com/thumbnail?id=1pEMxrcEdYMihiwrzAb_WqA-_eb6eqNUJ&sz=w1000|https://drive.google.com/thumbnail?id=1CoO3OYQVlTS31I0ajrEwc9WkxqZ3wI3W&sz=w1000|https://drive.google.com/thumbnail?id=1HyK1P4kyqJh2s3y9DFHam6vTtTR1RAQm&sz=w1000|https://drive.google.com/thumbnail?id=1fP_KL0Q_mNgmEcOTLr8GbY9QXwHbXQKS&sz=w1000|https://drive.google.com/thumbnail?id=1Y_PWVWHbHYh4AiJy7Oz0zmhy8Emzx7pu&sz=w1000,https://drive.google.com/thumbnail?id=1Ksqo8GmK_Dd0SzYk1S9Jc3gteYkWpvKj&sz=w1000
8,Toyota Esquire Hybrid GI Premium Package,2019,DAA-ZWR80G,Blue,"81,118",1800,R,"Push start, Navigation, Flip down monitor, Power sliding door on both sides, Leather seats",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=11W4Rjqfly_UXpdJRiGQbVWIc-4DZ6Ub-&sz=w1000|https://drive.google.com/thumbnail?id=1NSN6UfoIDxsFzoJrKMNE0T4E9vQA0AtG&sz=w1000|https://drive.google.com/thumbnail?id=1OR1aPM24HugZh9ckOpd4YAZsAefZAlA8&sz=w1000|https://drive.google.com/thumbnail?id=18sHELpLcmX4Y-qyvaijP31bfu-qITlT_&sz=w1000|https://drive.google.com/thumbnail?id=1_UByZqdbRYAgj4JWcrVlrnGZCpbLiPgo&sz=w1000|https://drive.google.com/thumbnail?id=1pprB9x3XRJfLcavPEhZFLG8yrUoUOL7P&sz=w1000|https://drive.google.com/thumbnail?id=13VYdCNZVAxnwfoiVMBp51-YUSQW0XI6F&sz=w1000|https://drive.google.com/thumbnail?id=1Nmh62SoF0hyy7lppZXrN808XGEVx6Rvj&sz=w1000|https://drive.google.com/thumbnail?id=1duxpvlrtVuyyKrGIQLK2y9tr-Z0_fdgd&sz=w1000|https://drive.google.com/thumbnail?id=1ABST6-_Kn5saQAFnIJjviOVOCrHFvPHV&sz=w1000|https://drive.google.com/thumbnail?id=14NSHzj0eNFy0pbczPGPFXr8xzkFNyyIC&sz=w1000,https://drive.google.com/thumbnail?id=11W4Rjqfly_UXpdJRiGQbVWIc-4DZ6Ub-&sz=w1000
9,Toyota C-HR 2019 S LED Package,2019,ZYX10-2171599,Black,"113,138",1800,4,"Push start, Toyota Safety Sense, Back monitor, Radar cruise control, Equipped with studless tires ",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1We7CN4zEm90NSl8xJbtUrVf1BHsD4OSr&sz=w1000|https://drive.google.com/thumbnail?id=1UeYnz5npUDQgiuvp8AilScFBAlUefPl4&sz=w1000|https://drive.google.com/thumbnail?id=1Tryb02QWcZ3jqBd9BqaHHQUiimy1oIyM&sz=w1000|https://drive.google.com/thumbnail?id=1pILFHJdoMVaCmnm41_WlMfA0vv5Eo3H7&sz=w1000|https://drive.google.com/thumbnail?id=1Po7BL9FndSnuUqFgfgG4c4ZMWxjJbLy6&sz=w1000|https://drive.google.com/thumbnail?id=1zWIP5xrAapKlCCkS1HNtlz-h8dmofjTv&sz=w1000|https://drive.google.com/thumbnail?id=11srU2HsYi6DUxFDokOQz7akQXTydN5HI&sz=w1000,https://drive.google.com/thumbnail?id=1We7CN4zEm90NSl8xJbtUrVf1BHsD4OSr&sz=w1000
10,Toyota Corolla Touring Hybrid G-X Package,2020,6AA-ZWE211W,Blue,"96,912",1800,4,"Toyota Safety Sense, Display Audio",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1Tn2XKBtCUumTGPB76_wwTPFjekv6m5wx&sz=w1000|https://drive.google.com/thumbnail?id=1_QSfjEe7h2X6P3ICZgoTyDZ47qhGvM7V&sz=w1000|https://drive.google.com/thumbnail?id=14sGtcFIA6wmb7PEOlxkt052V_7OWOhMc&sz=w1000|https://drive.google.com/thumbnail?id=1C_swXmyfL2LzpTW2WVovH6nxK4Kon2hu&sz=w1000|https://drive.google.com/thumbnail?id=1QaJdR351dWArM1y0rnGH9pM1v8dWJnrv&sz=w1000|https://drive.google.com/thumbnail?id=19Fi1gO9xgeMyrORJrLqmYHTibwwOnjt7&sz=w1000|https://drive.google.com/thumbnail?id=1JHagQEtRN8fy9TvYlNWdvs6Wseb-CU9U&sz=w1000|https://drive.google.com/thumbnail?id=1kg5MSf5cav5vJXp-9RzC3KIsLy8IInDY&sz=w1000|https://drive.google.com/thumbnail?id=1IhozMyhmpBW_wMfbIitIGJrAE-wo8ltS&sz=w1000|https://drive.google.com/thumbnail?id=16mWUb5jNomzVJkSVnphoV4ZPJQZjANXN&sz=w1000|https://drive.google.com/thumbnail?id=1fxcFm7PcC7GMKRW7iW2nfvJ04HE_scIA&sz=w1000|https://drive.google.com/thumbnail?id=1NZT0-hFE8s-HlWfVqrbeECgm3Fzjy6FQ&sz=w1000|https://drive.google.com/thumbnail?id=1KKojZ1CvI8I6ck21S3Uh8AgGfET0joXn&sz=w1000|https://drive.google.com/thumbnail?id=1LZQXniLxba6gFExW5JY3OUYAmJhic0U9&sz=w1000|https://drive.google.com/thumbnail?id=18kvOlFJgtXPGS4ptzXLq-rmcYdvLGa4m&sz=w1000|https://drive.google.com/thumbnail?id=1Ep5tJcvgUCfYdc1pKrSMbnIyBbYRyuWr&sz=w1000|https://drive.google.com/thumbnail?id=1qTnCWPvgMhAcbE1tmMW4qnORfnIg3sSj&sz=w1000|https://drive.google.com/thumbnail?id=1QKDIG9CSD6pG652gq8Q4w0VWKOBu8ZcB&sz=w1000|https://drive.google.com/thumbnail?id=1vWUMuh5dFHV13AFMDpQnOdKHkGhfOFCT&sz=w1000|https://drive.google.com/thumbnail?id=1RJ3d7UiSxybJKsJWNkuyL8mWHk2Z7KaW&sz=w1000|https://drive.google.com/thumbnail?id=1BlYzNALgJf43ww51yNcGIhmP5mO0jhfm&sz=w1000|https://drive.google.com/thumbnail?id=1lby7E4Fj85y-yxfJE2oVlI1yE5YQF1cv&sz=w1000,https://drive.google.com/thumbnail?id=1Tn2XKBtCUumTGPB76_wwTPFjekv6m5wx&sz=w1000
